Stellar,Mass,Luminosity,Radius,Temp,Color Index,Abs Mag,Bolo Corr,Bolo Mag,Star Color
Type,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,B-V,Mv,BC(Temp),Mbol,RGB 0-255
R0Ib,8.3,9.77E+03,1.56E+02,4669,1.03,-4.6,-0.62,-5.22,255 231 193
R0II,6.5,1.29E+03,5.65E+01,4669,1.03,-2.4,-0.62,-3.02,255 237 209
R0III,4.6,8.91E+01,1.49E+01,4669,1.03,0.5,-0.62,-0.12,255 243 233
R0IV,2.8,6.20E+00,2.76E+00,5560,0.75,3,-0.23,2.77,255 245 238
R0V,0.9,9.82E-01,1.10E+00,5560,0.75,5,-0.23,4.77,255 241 229
R0VI,0.8,2.97E-01,6.05E-01,5560,0.75,6.3,-0.23,6.07,255 241 229
R1Ia0,12.4,8.71E+05,1.54E+03,4561,1.07,-9.4,-0.7,-10.1,255 228 187
R1Ia,10.5,1.66E+05,6.72E+02,4561,1.07,-7.6,-0.7,-8.3,255 228 187
R1Ib,8.6,1.05E+04,1.69E+02,4561,1.07,-4.6,-0.7,-5.3,255 228 187
R1II,6.7,1.38E+03,6.13E+01,4561,1.07,-2.4,-0.7,-3.1,255 234 201
R1III,4.7,1.05E+02,1.69E+01,4561,1.07,0.4,-0.7,-0.3,255 239 222
R1IV,2.8,6.61E+00,3.11E+00,5331,0.82,3,-0.3,2.7,255 241 229
R1V,0.9,7.94E-01,1.08E+00,5331,0.82,5.3,-0.3,5,255 238 222
R1VI,0.7,2.19E-01,5.65E-01,5331,0.82,6.7,-0.3,6.4,255 238 222
R2Ia0,12.8,9.40E+05,1.68E+03,4453,1.11,-9.4,-0.78,-10.18,255 225 182
R2Ia,10.8,1.79E+05,7.33E+02,4453,1.11,-7.6,-0.78,-8.38,255 225 182
R2Ib,8.8,1.24E+04,1.93E+02,4453,1.11,-4.7,-0.78,-5.48,255 225 182
R2II,6.8,1.49E+03,6.68E+01,4453,1.11,-2.4,-0.78,-3.18,255 230 192
R2III,4.8,1.36E+02,2.02E+01,4453,1.11,0.2,-0.78,-0.58,255 234 211
R2IV,2.8,7.17E+00,3.53E+00,5102,0.89,3,-0.39,2.61,255 238 221
R2V,0.8,6.54E-01,1.07E+00,5102,0.89,5.6,-0.39,5.21,255 235 216
R2VI,0.7,1.80E-01,5.60E-01,5102,0.89,7,-0.39,6.61,255 235 216
R3Ia0,13.3,9.32E+05,1.75E+03,4346,1.15,-9.3,-0.87,-10.17,255 222 176
R3Ia,11.2,1.78E+05,7.66E+02,4346,1.15,-7.5,-0.87,-8.37,255 222 176
R3Ib,9.1,1.35E+04,2.11E+02,4346,1.15,-4.7,-0.87,-5.57,255 222 176
R3II,7,1.78E+03,7.66E+01,4346,1.15,-2.5,-0.87,-3.37,255 227 184
R3III,5,1.62E+02,2.31E+01,4346,1.15,0.1,-0.87,-0.77,255 230 199
R3IV,2.9,7.26E+00,3.90E+00,4873,0.97,3.1,-0.5,2.6,255 234 212
R3V,0.8,5.50E-01,1.07E+00,4873,0.97,5.9,-0.5,5.4,255 233 209
R3VI,0.6,1.52E-01,5.63E-01,4873,0.97,7.3,-0.5,6.8,255 233 209
R4Ia0,13.7,1.02E+06,1.93E+03,4238,1.19,-9.3,-0.97,-10.27,255 219 171
R4Ia,11.5,1.95E+05,8.44E+02,4238,1.19,-7.5,-0.97,-8.47,255 219 171
R4Ib,9.4,1.62E+04,2.43E+02,4238,1.19,-4.8,-0.97,-5.77,255 219 171
R4II,7.2,1.95E+03,8.44E+01,4238,1.19,-2.5,-0.97,-3.47,255 223 175
R4III,5.1,1.95E+02,2.67E+01,4238,1.19,0,-0.97,-0.97,255 225 188
R4IV,2.9,8.25E+00,4.57E+00,4644,1.04,3.1,-0.64,2.46,255 231 203
R4V,0.8,5.21E-01,1.15E+00,4644,1.04,6.1,-0.64,5.46,255 230 203
R4VI,0.6,1.19E-01,5.50E-01,4644,1.04,7.7,-0.64,7.06,255 230 203
R5Ia0,14.1,1.13E+06,2.14E+03,4130,1.23,-9.3,-1.08,-10.38,255 216 165
R5Ia,11.9,1.97E+05,8.93E+02,4130,1.23,-7.4,-1.08,-8.48,255 216 165
R5Ib,9.6,2.16E+04,2.96E+02,4130,1.23,-5,-1.08,-6.08,255 216 165
R5II,7.4,2.16E+03,9.35E+01,4130,1.23,-2.5,-1.08,-3.58,255 220 167
R5III,5.2,2.59E+02,3.24E+01,4130,1.23,-0.2,-1.08,-1.28,255 221 177
R5IV,2.9,9.67E+00,5.47E+00,4416,1.12,3.1,-0.81,2.29,255 227 194
R5V,0.7,4.63E-01,1.20E+00,4416,1.12,6.4,-0.81,5.59,255 227 196
R5VI,0.5,8.81E-02,5.23E-01,4416,1.12,8.2,-0.81,7.39,255 227 196
R6Ia0,14.5,1.26E+06,2.39E+03,4023,1.27,-9.3,-1.2,-10.5,255 213 160
R6Ia,12.2,2.20E+05,9.95E+02,4023,1.27,-7.4,-1.2,-8.6,255 213 160
R6Ib,9.9,3.18E+04,3.78E+02,4023,1.27,-5.3,-1.2,-6.5,255 213 160
R6II,7.6,2.41E+03,1.04E+02,4023,1.27,-2.5,-1.2,-3.7,255 217 158
R6III,5.3,3.18E+02,3.78E+01,4023,1.27,-0.3,-1.2,-1.5,255 216 166
R6IV,3,1.17E+01,6.71E+00,4187,1.21,3.1,-1.02,2.08,255 224 186
R6V,0.7,4.26E-01,1.28E+00,4187,1.21,6.7,-1.02,5.68,255 219 182
R6VI,0.4,6.76E-02,5.09E-01,4187,1.21,8.7,-1.02,7.68,255 219 182
